precip,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,DayWeek
0,15.79,5.69,204.12,4.72,7.86,26.24,27.51,5.20,255.14,224.03,Weekday
0,16.32,3.31,205.86,4.86,8.12,28.39,25.28,4.40,252.16,165.44,Weekend
0.01,14.28,4.72,184.11,4.28,7.11,23.66,24.73,4.70,229.65,65.66,Weekday
0.01,15.57,3.48,184.65,4.57,7.76,27.13,22.56,3.49,226.60,145.21,Weekend
0.02,15.45,5.70,195.22,4.63,7.70,25.65,26.76,4.67,244.67,366.63,Weekday
0.02,15.74,5.12,206.87,4.72,7.84,27.62,24.01,3.14,251.71,46.83,Weekend
0.03,15.92,5.57,199.81,4.77,7.93,26.30,27.19,4.88,250.17,102.52,Weekday
0.03,16.67,3,195.14,4.67,8.31,28.96,353.79,3.79,568.95,240.40,Weekend
0.04,18.55,7.05,235.16,5.56,9.24,30.86,32.88,5.45,295.33,496.39,Weekday
0.04,15.49,5.14,189.65,4.64,7.71,27.02,23.91,3.51,234.58,46.95,Weekend
0.05,14.79,5.23,191.44,4.44,7.36,24.92,25.20,4.69,238.35,60.73,Weekday
0.05,20.56,4.93,236.61,6.16,10.25,36.04,29.20,3.48,290.63,54.09,Weekend
0.06,14.97,7.32,187.52,4.49,7.45,25.02,25.11,4.61,236.55,60.81,Weekday
0.06,14.57,4.99,176.90,4.05,7.26,25.23,22.45,2.98,218.94,"1,196.60",Weekend
0.07,13.32,6.32,179.42,3.99,6.62,21.84,24.65,4.75,225.76,41.43,Weekday
0.07,9.70,3.44,127.19,2.76,4.82,16.59,15.54,2.66,156.55,34.05,Weekend
0.08,14.09,4.39,177.13,4.22,7.02,23.40,23.81,4.42,220.99,72.21,Weekday
0.08,18.42,0.939166667,206.98,4.29,9.18,32.18,24.68,3.81,342.51,590.44,Weekend
0.09,15,3.45,204.52,4.44,7.36,24.26,27.97,5.81,253.57,45.10,Weekday
0.09,10,4.13,134.02,2.47,4.92,16.93,17.27,2.84,166.15,35.95,Weekend
0.1,15.03,7.96,195.89,4.51,7.48,25.09,26.95,5.09,247.88,847.07,Weekday
0.1,19.90,9.82,238.77,4.99,10,35,31.00,2.34,297.82,"1,227.00",Weekend
0.11,12.20,4.56,155.45,3.66,6.08,20.43,21.56,2.78,194.09,37.20,Weekday
0.11,15.35,3.09,175.55,4.52,7.64,27,22.15,3.08,216.11,43.13,Weekend
0.12,20.58,15.51,262.30,6.16,10.25,34.04,36.84,6.41,337.47,"1,319.01",Weekday
0.12,19.38,2.18,219.22,5.18,10,33.43,26.68,4.20,267.74,77.65,Weekend
0.13,15,5,197.80,4.51,7.50,24.59,27.00,5.41,246.91,42.42,Weekday
0.14,13.02,6.85,164.81,3.90,6,21.30,23.59,3.21,208.85,41.21,Weekday
0.14,19.43,3,226.18,5.82,9.68,33.87,27.74,4.18,276.47,52.77,Weekend
0.15,13.21,7.22,172.03,3.96,7,22.11,22.44,3.51,215.72,866.65,Weekday
0.15,21,10.50,247.59,3.38,11,39,29.83,3.93,308.97,61.35,Weekend
0.16,13.60,4.17,183.71,4.08,7,23.41,22.96,4.51,226.20,42.89,Weekday
0.16,11,3.90,128.83,3.16,5,18,16.39,3.38,160.90,34,Weekend
0.17,18.87,0.0085,238.34,5.66,9.41,30.58,32.94,5.06,291.42,44.78,Weekday
0.17,12,6,154.52,3.67,6,22,19.91,1.39,191.68,41.00,Weekend
0.18,13.39,3.35,177.99,4.01,6.66,22,23.93,4.52,220.45,46.15,Weekday
0.18,21.43,5,271.28,6.43,10.68,38,33.80,4.53,331.71,61.70,Weekend
0.19,20,6.88,266.96,6.05,10.06,34.03,37.71,5.87,333.54,59.90,Weekday
0.19,20,0.133,234.29,6.04,10.02,35,27.91,4.96,283.34,51.68,Weekend
0.2,24,17.75,279.86,7.17,11.93,39.45,42.07,5.66,364.43,66.49,Weekday
0.2,20,0.184,228.62,6.03,10,35,27.64,5.49,277.99,55.30,Weekend
0.21,15.46,7.56,197.67,4.63,8,25.96,26.49,4.28,248.32,108.27,Weekday
0.21,21,4.97,244.13,6.21,10,36.18,30.69,4.52,300.86,56.73,Weekend
0.22,12.76,6.94,162.33,3.82,6.36,21.61,22.04,2.92,204.41,35.85,Weekday
0.22,20,0.181,236.64,6.13,10,36,28.88,6.14,288.16,56.47,Weekend
0.24,18,0.005666667,232.75,5.31,8.82,29.15,30.72,5.90,283.50,47.35,Weekday
0.26,21,0.0085,269.63,6.21,10,34,38.41,5.72,330.33,51.82,Weekday
0.26,18,8,210.07,5.45,9,32,25.71,3.18,261.26,49.76,Weekend
0.28,13.02,6.34,174.46,3.90,6.49,22,22.14,3.59,216.92,46.58,Weekend
0.3,12,6,170.19,3.71,6.16,21,22.74,2.98,211.84,45.64,Weekday
0.34,24,13,294,7.10,11.80,39,45.45,5.77,377.03,65.91,Weekday
0.36,5.83,0.6995,76.43,1.75,2.89,9.12,9.95,2.81,94.53,20.80,Weekday
0.37,16,6.96,182.71,4.79,7.97,28,24.31,3.88,230.60,46.70,Weekend
0.38,26,13,342,7.79,13,43,52.10,7.16,434.59,82.50,Weekday
0.41,20,0.0075,282.56,6.01,9.97,34,35.06,7.87,341.48,54.15,Weekday
0.48,23,11,285.47,6.95,12,39,42.77,6.03,364.16,70.29,Weekday
0.5,22.02,5.79,280.56,6.60,10.98,36,40.29,6.81,351.04,63.70,Weekday
0.51,2.46,1.19,35.74,0.7365,1.21,4,4.22,1.00,44.10,10.07,Weekday
0.56,16,3.90,197.98,4.81,8.00,26.48,25.89,5.22,245.80,48.87,Weekday
0.58,17,0.009,213.25,5.07,8,27,29.81,7.06,263.62,98.69,Weekday
0.61,15,0.0095,205.98,4.61,7.67,26,25.90,5.82,250.00,42.09,Weekday
1.67,17,0.0015,223.73,5.24,9,29,30.12,6.10,273.88,48.73,Weekday
