precip,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season,
0,15.47,4.71,202.80,4.64,7.70,25.92,27.29,5.21,252.36,185.13,Winter,
0.01,16.20,6.46,215.69,4.86,8.07,26.77,30.27,5.38,270.72,131.76,Winter,
0.02,16.55,4.88,218.24,4.96,8.24,27.31,31.05,5.38,272.75,48.92,Winter,
0.03,16.09,5.05,216.34,4.82,8.01,26,29.83,5.76,269.82,45.03,Winter,
0.04,14.37,7.85,200.32,4.31,7.15,23.55,27.36,5.63,252.62,41.68,Winter,
0.05,14.32,1.18,204.33,4.29,7.11,24,25.74,5.89,248.55,42.07,Winter,
0.06,16.09,9.04,210.30,4.82,8.02,27.03,29.81,4.62,266.61,49.15,Winter,
0.07,14.77,7.16,208.88,4.43,7.35,24,29.45,5.49,262.76,47.02,Winter,
0.08,11.57,3.80,150.45,3.46,5.75,18.64,20.26,4.56,188.29,35.20,Winter,
0.09,12.28,5.37,168.37,3.68,6.11,20,23.52,4.51,211.55,41.40,Winter,
0.1,18,11.59,254.07,5.54,9.20,31.32,34.45,6.22,321.07,57.16,Winter,
0.11,23,11.12,312.81,6.81,11,39,42.68,5.90,390.64,73.48,Winter,
0.12,19,18.91,262.40,5.84,9.72,32.16,38.83,6.45,342.15,52.91,Winter,
0.13,14,7.81,193.48,4.25,7,23.55,25.66,4.88,243.14,38.27,Winter,
0.14,7,3.32,95.23,2.03,3,11,12.53,2.02,118.50,26.52,Winter,
0.15,15.05,13.16,196.80,4.51,7.49,25,27.21,3.65,252.83,42.27,Winter,
0.16,22,10.85,306.92,6.66,11,38,40.92,5.64,382.07,71.70,Winter,
0.17,19,0.0105,252.88,5.75,9.56,31,36.39,5.47,310.05,45.59,Winter,
0.18,23,13,284.29,6.93,11.53,38,43.26,5.81,364.56,64.85,Winter,
0.19,21,10.32,286.09,6.33,10.52,35.74,41.73,6.13,361.12,68.00,Winter,
0.2,23,11.33,292.50,6.94,12,38,44.78,6.32,373.41,69.98,Winter,
0.21,14,11.27,196.76,4.24,7.04,24,27.09,5.09,251.49,58.50,Winter,
0.22,23,12.83,292.91,7.00,11.64,39,40.97,5.31,370.65,62.82,Winter,
0.34,24,13,294,7.10,11.80,39,45.45,5.77,377.03,65.91,Winter,
0.36,9,0.3245,114.56,2.81,4.66,14,15.48,4.20,142.03,30.41,Winter,
0.38,26,13,342,7.79,13,43,52.10,7.16,434.59,82.50,Winter,
0.51,2.46,1.19,35.74,0.7365,1.21,4,4.22,1.00,44.10,10.07,Winter,
0,17.04,5.37,220.63,5.11,8.49,28.72,28.86,5.37,274.14,317.47,Spring,
0.01,14.06,4.18,181.81,4.22,7.00,23.31,24.08,4.50,225.79,42.53,Spring,
0.02,15.58,7.65,195.16,4.67,7.76,26.10,26.17,4.71,246.13,375.58,Spring,
0.03,19.57,8.28,240.37,5.87,10,32.31,34.22,5.43,303.97,307.56,Spring,
0.04,21.04,8.71,262.78,6.31,10.48,35.28,37.33,5.57,331.19,905.91,Spring,
0.05,22.47,12.02,271.85,6.74,11.20,38.53,35.18,5.71,342.71,61.23,Spring,
0.06,21,8.79,250.57,6.29,10.46,35,34.51,5.38,316.02,147.97,Spring,
0.07,12.82,6.23,162.67,3.84,6.38,21.14,21.38,4.39,204.90,38.00,Spring,
0.08,18.44,3.23,241,5.53,9.18,30.76,32.48,6.19,297.14,152.40,Spring,
0.09,23,0.0255,267.52,6.79,11.29,37,36.66,5.47,327.77,54.78,Spring,
0.1,17,11,225.01,5.00,8.30,28.43,30.10,5.19,284.35,53.15,Spring,
0.11,2,1.17,33.30,0.7128,1,4,3.64,0.63176,40.64,9,Spring,
0.12,18,0.01225,224.68,5.54,9.20,31.12,27.18,5.75,272.36,"2,577.65",Spring,
0.13,19,0.008,246.21,5.81,10,31,35.38,7.08,304.18,55.24,Spring,
0.14,26,14,316.60,7.86,13.09,43,47.48,6.22,405.53,74.13,Spring,
0.15,18,0.0075,226.40,5.27,9,29,27.58,5.94,273.95,"3,363.46",Spring,
0.16,4,2,66.60,1,1.86,6,9.30,4.17,84.73,20.11,Spring,
0.18,23,0.009,299.78,6.82,11,40,35.34,6.96,360.24,63.05,Spring,
0.22,2,1,31.75,0.6528,1,4,3.11,0.53701,38.18,8.88,Spring,
0.26,18,8,210.07,5.45,9,32,25.71,3.18,261.26,49.76,Spring,
0.36,2,1.07,38.29,0.6858,1.13,4,4.43,1.41,47.02,11.20,Spring,
0.5,21,0.009,261.39,6.16,10,33,36.73,7.19,321.72,55.65,Spring,
0.56,16,0.0095,200,4.84,8,26,27.69,6.33,246.63,49.88,Spring,
0,14.72,4.71,191.27,4.41,7.33,24.96,24.61,4.81,237.16,103.53,Summer,
0.01,15.77,4.32,200.33,4.73,7.86,26.50,26.38,5.00,248.63,45.01,Summer,
0.02,16.88,4.76,232.54,5.06,8.41,28.55,29.06,5.22,285.05,533.58,Summer,
0.03,16.73,8.99,212.54,5.02,8.34,28.80,27.34,4.73,266.95,48.20,Summer,
0.04,13.05,3.98,170.29,3.91,6.50,22.38,22.04,4.16,210.88,42.79,Summer,
0.05,16.07,7.90,201.83,4.82,8.01,28,26.53,3.31,252.40,48.26,Summer,
0.06,14.10,9.37,191.37,4.23,7.02,24,25.80,4.87,242.65,43.06,Summer,
0.07,8,0.28,104.93,2.40,4,13,13.95,4.44,129.96,28.97,Summer,
0.09,10,0.19225,169.31,3.04,5.02,16.87,20.59,5.92,204.06,35.82,Summer,
0.1,16,8.01,197.65,4.84,8,28,26.67,1.54,246.77,51.27,Summer,
0.13,13,0.0045,162.35,3.99,6.63,21,22.61,5.34,200.92,42.09,Summer,
0.14,23,11.44,286.86,6.95,12,42,36.71,3.37,356.88,69.57,Summer,
0.16,5,0.0045,73.57,1.53,2.53,8,8.22,3.12,88.97,21.11,Summer,
0.17,16.13,3.04,212.97,4.83,8.04,26.95,28.78,3.66,261.33,45.25,Summer,
0.18,19.48,5,265.97,5.84,10,33.53,34.76,5.65,326.91,73.79,Summer,
0.19,18,0.0125,228.71,5.50,9,31,29.67,5.36,278.38,43.69,Summer,
0.21,20,9.77,245.96,5.99,9.96,35,31.30,3.62,306.60,54.94,Summer,
0.24,18,0.005666667,232.75,5.31,8.82,29.15,30.72,5.90,283.50,47.35,Summer,
0.26,21,0.0085,269.63,6.21,10,34,38.41,5.72,330.33,51.82,Summer,
0.28,13.02,6.34,174.46,3.90,6.49,22,22.14,3.59,216.92,46.58,Summer,
0.3,12,6,170.19,3.71,6.16,21,22.74,2.98,211.84,45.64,Summer,
0.41,20,0.0075,282.56,6.01,9.97,34,35.06,7.87,341.48,54.15,Summer,
0.48,23,11,285.47,6.95,12,39,42.77,6.03,364.16,70.29,Summer,
0.5,24,12,299.74,7.04,11.72,40,43.85,6.44,380.35,71.75,Summer,
0.58,17,0.009,213.25,5.07,8,27,29.81,7.06,263.62,98.69,Summer,
0.61,15,0.0095,205.98,4.61,7.67,26,25.90,5.82,250.00,42.09,Summer,
1.67,17,0.0015,223.73,5.24,9,29,30.12,6.10,273.88,48.73,Summer,
