snow,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
0,17.01,5.42,220.05,5.1,8.47,28.65,28.82,5.35,273.52,312.77,Spring
0.01,15,2.59,181.53,4.41,7.33,24.18,24.34,4.09,224.29,42.13,Spring
0.02,23.44,6.85,287.53,7.03,11.69,38.67,40.94,6.8,360.84,"2,751.15",Spring
0.03,13.09,7,154.57,3.92,7,23,18.98,2.77,193.81,37.45,Spring
0.04,9.42,1.3,128.78,2.82,4.69,15.44,16.03,3.55,157.17,30.42,Spring
0.05,18,0.003,229.91,5.54,9,32,26.48,5.07,276.2,52.22,Spring
0.06,26,14.07,302.13,7.69,12.79,42,44.67,6.08,388.08,70.49,Spring
0.09,5,2.41,61.94,1.46,2.42,8,7.3,0.52164,76.05,16.52,Spring
0.1,25,13.64,316.98,7.5,12.45,41,46.55,6.79,403.9,71.02,Spring
0.11,22,0.0205,257.48,6.54,10.87,35,36.87,5.91,317.68,55.68,Spring
0.14,26,14,316.6,7.86,13.09,43,47.48,6.22,405.53,74.13,Spring
0.15,26,14.38,288.03,8,13,45,41.76,4.6,369.66,515.7,Spring
0.16,19,9.33,236.54,5.64,9.36,33,31.2,2.09,294.16,60.54,Spring
0.18,21,0.01,285.89,6.42,11,37,33.51,8.25,344.74,63.56,Spring
0.26,18,8,210.07,5.45,9,32,25.71,3.18,261.26,49.76,Spring
0.3,19,0.0235,244.2,5.58,9.25,31,29.81,7.14,296,"5,107.90",Spring
0.48,21,0.009,261.39,6.16,10,33,36.73,7.19,321.72,55.65,Spring
0.74,19,0.008,246.21,5.81,10,31,35.38,7.08,304.18,55.24,Spring
1,22,0.189,265,6.58,10.93,38,31.84,5.7,320.25,60.09,Spring
0,16.41,5.17,200.77,4.82,8.17,27.63,28.22,4.33,251.93,235.71,Winter
0.01,16,3.67,192.5,4.8,7.97,27.84,23.36,4.28,236.59,44.94,Winter
0.02,17.73,1.57,215.56,5.32,8.83,30.15,27.44,5.25,263.96,46.69,Winter
0.03,19.54,3.87,234.96,5.86,9.73,32.54,31.2,5.95,291.57,136.77,Winter
0.04,10.89,4.69,134.22,2.93,5.42,18.33,17.28,2.57,167.45,33.8,Winter
0.05,18.7,0.009,213.28,5.61,9.32,31.68,27.61,4.31,260.14,46.93,Winter
0.07,14,0.0125,170.52,4.29,7,23.46,21.11,4.9,207.95,39.74,Winter
0.08,16.54,4.2,190.13,4.96,8.24,29,24.34,2.85,234.72,45.94,Winter
0.09,15.11,4.4,174.69,4.53,7.53,24.9,23.85,2.55,217.56,38.36,Winter
0.1,18,9.78,209,5.3,8.82,30,26.2,4.61,263.56,48.65,Winter
0.11,11,1.22,136.33,3.2,5.31,19,14.79,3.22,164.06,31.73,Winter
0.14,5,3,78.2,1.62,3,9,8.8,1.37,95.31,21.81,Winter
0.15,17,5.37,202.44,5.23,8.67,29.45,28.69,4.48,254.87,46.65,Winter
0.16,20,9,221.42,3.18,10,36,26.19,3.59,275.99,52.93,Winter
0.18,14,0.0075,173.38,4.3,7,23.8,22.43,4.57,211.81,38.92,Winter
0.19,15,6,184.99,4.38,7,25,25,4.8,232.68,46.92,Winter
0.22,17,0.0125,200.57,5.22,8.69,28,27.78,3.75,246.02,41.31,Winter
0.23,3,1.5,50.68,0.9531,2,5,5.09,0.88324,60.69,14.75,Winter
0.24,4,2.03,50.83,1.23,2,7,6.18,0.48529,62.78,13.66,Winter
0.26,14,6.78,164.69,2.12,7,24,20.34,1.25,203.98,548.77,Winter
0.31,18,9,224.78,5.38,8.92,32,30.84,1.95,280.72,58.29,Winter
0.33,10,0.005,104.58,2.89,4.79,16,13.23,2.43,127.91,26.63,Winter
0.34,4,1.79,44.54,1.09,2,6,5.32,0.36097,54.92,12.07,Winter
0.37,23,0.012,256.71,6.77,11.26,39,30.76,5.17,310.68,56.2,Winter
0.42,23,12.47,261.79,6.84,11,38,39.14,5.66,337.31,66.48,Winter
0.6,16,6.96,182.71,4.79,7.97,28,24.31,3.88,230.6,46.7,Winter
1,15.23,7.29,191.42,4.57,7.58,25.73,25.96,4.32,241.14,47.12,Winter
2,14.29,7,190.35,4.29,7.11,23.95,28.4,4.65,241.74,49.93,Winter
3,20,19.66,246.9,6.09,10.12,34,34.35,7.27,324.38,56.62,Winter
4,13.65,1.56,163.52,4.1,6.8,24,19.11,3.16,198.23,39.99,Winter
5,20,19.44,241.61,5.97,10,33,33.94,6.13,317.03,49.65,Winter
7,4,1.85,76.41,1.27,2.05,7,10.94,4.61,97.12,22.51,Winter
8,29,14,367.94,8.81,15,51,51.57,5.1,462.57,88.27,Winter
10,9,4.42,103.67,2.7,4,16,13.47,1.45,130.2,27.32,Winter
