temp,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
62,10.84,0.446,143.80,3.25,5.39,17.85,18.85,4.84,176.57,34.76,Summer
71,11.15,2.28,143.63,3.34,5.55,18.74,18.03,3.53,176.35,35.09,Summer
68,11.25,0.844312222,147.14,3.37,5.60,18.67,18.74,4.41,180.10,45.29,Summer
69,11.83,1.83,153.71,3.55,5.89,19.89,19.58,3.84,188.40,100.74,Summer
70,12.22,2.02,156.45,3.66,6.08,20.70,19.66,3.87,191.74,125.53,Summer
61,12.63,0.109666667,162.59,3.79,6.28,20.40,21.72,5.71,200.20,40.20,Summer
67,12.64,0.929449143,165.80,3.79,6.29,20.75,21.97,4.49,203.28,38.53,Summer
64,12.69,2.54,159.88,3.80,6.32,21.59,20.34,3.53,196.42,"1,016.22",Summer
66,12.82,0.330461538,165.71,3.84,6.38,21.51,20.67,4.86,201.79,38.57,Summer
72,12.95,2.54,170.30,3.88,6.45,21.79,21.47,4.08,208.72,41.11,Summer
76,13.25,3.60,172.01,3.97,6.60,22.40,22.16,4.31,212.65,133.05,Summer
63,13.27,3.22,171.00,3.98,6.60,22.66,22.14,3.70,210.65,40.14,Summer
73,13.48,2.53,174.95,4.04,6.71,22.72,22.42,4.10,214.76,41.61,Summer
74,13.53,3.34,177.84,4.05,6.73,22.83,22.84,4.10,218.92,141.91,Summer
77,13.64,4.59,176.99,4.09,6.79,23.18,22.84,4.13,219.43,141.28,Summer
78,13.74,4.39,181.07,4.12,6.84,23.37,23.23,4.53,224.19,128.01,Summer
75,13.84,3.35,178.71,4.15,6.89,23.27,23.29,4.51,220.91,89.13,Summer
79,15.61,4.83,206.48,4.68,7.77,26.59,26.26,5.34,255.36,72.71,Summer
65,16,2.05,214.01,4.81,7.99,26.92,26.52,4.71,260.09,43.49,Summer
80,16.09,6.41,209.37,4.82,8.02,27.38,27.18,5.15,260.96,101.02,Summer
60,16.64,0.006357143,214.33,4.99,8.29,27.00,29.19,6.62,263.43,46.66,Summer
81,17.34,5.92,226.39,5.20,8.64,29.64,28.73,5.95,280.84,74.04,Summer
82,17.40,7.49,226.43,5.21,8.66,29.66,29.42,5.81,283.03,308.90,Summer
86,17.96,9.01,238.83,5.38,8.94,30.70,30.73,6.72,299.61,53.81,Summer
83,18.15,7.24,235.04,5.44,9.04,31.00,30.63,6.06,293.72,127.07,Summer
94,19,18,245.54,5.63,9.35,32,32.04,7.30,317.96,53.88,Summer
95,19,0.011,257.72,5.63,9.35,32,32.04,8.31,313.07,54.71,Summer
90,18.83,8.52,236.77,5.65,9.39,32.27,30.41,6.00,296.73,54.14,Summer
85,18.84,9.33,242.39,5.65,9.39,32.10,31.51,6.58,304.85,55.32,Summer
59,19,0.005,245.00,5.65,9.39,30,35.05,6.95,302.04,53.36,Summer
88,18.93,12,239.25,5.68,9.44,32.23,30.87,5.57,303.31,52.37,Summer
91,19,18.23,247.72,5.69,9,31.63,33.08,6.37,320.58,51.94,Summer
84,19.02,9.88,241.05,5.70,9.48,32.41,31.70,5.99,303.80,55.58,Summer
87,19.56,9.51,248.12,5.86,9.75,33.43,32.77,6.25,312.25,62.33,Summer
92,19.78,10.40,254.51,5.93,9.86,33.59,33.08,6.79,320.57,54.93,Summer
89,20.06,10.92,254.80,6.01,10.00,34.10,34.10,6.44,322.27,58.50,Summer
93,20.27,14.77,253.82,6.08,10.10,34,33.39,6.67,324.83,55.02,Summer
